image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_angle
92,41.31619,8.544772,13.277982,3.4899933,5,39.0,8.053797,1.5218759,5,1.047208,0.20944159,78.631195
93,42.447826,5.6704793,10.27872,4.415604,5,38.0,8.25705,1.2512745,2,1.1625836,0.5812918,57.645786
94,39.60041,4.2020907,10.82546,3.6126227,5,37.0,7.6832905,11.785152,6,1.1839566,0.1973261,104.54774
95,44.32179,9.294587,16.386593,3.822281,5,41.0,8.4775505,2.9055853,8,1.9340304,0.2417538,73.332
96,32.63211,9.935055,9.778843,3.5522084,4,29.0,7.5375905,2.9126759,8,2.4817474,0.3102184,78.194405
97,74.33372,13.871586,18.011192,3.9580142,5,68.0,14.163807,4.7167344,12,3.5146961,0.29289138,80.40859
98,49.413975,9.8257065,16.714636,3.5343413,3,45.0,15.430375,17.53486,13,3.1228461,0.24021895,76.94511
99,63.670517,13.199877,20.635546,3.6543088,3,55.0,18.981348,3.8517702,30,6.7264686,0.22421566,73.190674
100,69.23128,5.7017217,17.355104,3.884833,5,62.0,12.816919,5.4527225,16,5.1466565,0.321666,69.16159
101,64.80933,10.82546,15.668019,3.3839688,5,57.0,11.710691,4.528124,26,6.255882,0.24061085,76.37375
102,45.65426,7.4825335,10.95043,3.8527353,5,43.0,9.016902,2.1846654,4,0.56974566,0.14243643,87.25565
103,53.70976,6.5765066,10.731734,3.5172825,5,45.0,9.587319,6.6602135,26,5.7731657,0.22204489,75.188644
104,76.10327,7.5918818,17.683147,3.2152526,5,71.0,14.828794,13.35828,6,1.9592996,0.32654995,71.20373
105,54.221874,7.732472,18.214268,3.5916684,4,50.0,13.003422,4.188371,13,2.208188,0.16986063,73.62566
106,55.95479,5.654858,18.214268,4.20347,4,49.0,12.943885,4.5785427,20,4.1792493,0.20896247,73.05494
107,59.1687,9.138376,19.46396,3.7115817,4,54.0,13.8853445,3.6006382,16,3.6273296,0.22670811,79.505264
108,73.21681,10.169373,17.667526,3.7549276,4,61.0,16.031338,4.292545,32,9.091446,0.28410774,75.46154
109,68.80441,10.82546,17.542557,2.783276,5,62.0,13.003376,5.859698,19,3.787538,0.1993441,72.46826
110,60.57675,9.497663,19.385855,4.224373,5,55.0,11.473536,3.7412174,13,3.2090743,0.24685188,82.54774
111,60.104553,11.575276,18.901598,3.8839295,4,56.0,14.3307905,5.650945,16,2.7813978,0.17383738,81.2
112,62.96048,6.4984007,14.621402,3.7592988,4,53.0,13.766469,4.458201,25,7.894593,0.31578368,64.48068
113,65.00011,6.014145,14.621402,3.5836098,5,58.0,12.141114,3.098681,19,4.294527,0.22602777,73.55913
114,77.46141,15.558671,23.572323,4.0473886,4,69.0,17.66453,4.3613253,21,6.8033023,0.32396674,78.12397
115,60.47848,9.685117,13.949692,3.977222,3,53.0,18.250061,2.7644606,18,5.728303,0.31823906,66.69706
116,64.125694,11.544034,18.995325,4.3172326,5,59.0,12.338214,3.0786972,6,2.4346197,0.40576994,75.4649
117,39.88874,11.262853,12.949938,4.4943194,4,36.0,9.364769,2.741963,8,2.4296618,0.3037077,78.52024
118,31.416628,9.497663,9.513284,3.5960135,4,29.0,7.6181707,1.3985864,4,0.94394386,0.23598596,72.86903
119,32.9707,7.2638373,11.653382,3.9558787,3,30.0,10.636843,4.8395896,5,1.0601704,0.21203409,73.54233
120,33.608643,8.497909,11.122263,4.479282,5,30.0,6.438676,1.9789485,6,1.415257,0.23587619,78.05975
121,35.42087,3.8740466,9.981918,4.1457934,6,33.0,5.9034786,0.0,0,0.0,0.0,0.0
122,34.319508,10.13813,12.528167,3.6834419,5,31.0,6.5588183,2.0814526,6,1.5254136,0.25423563,75.83065
123,37.781925,8.91968,13.746616,3.6873841,4,34.0,9.243624,3.1480937,3,0.8074378,0.2691459,87.67759
124,26.205433,6.9201717,7.607503,4.150022,4,24.0,6.4542627,1.4857004,2,0.38838115,0.19419058,54.832462
125,13.55405,1.4996309,8.091759,4.065328,4,11.0,3.3885126,0.0,0,0.0,0.0,0.0
126,29.219835,9.778843,8.10738,4.442297,4,27.0,7.2419877,0.0,1,0.25188357,0.25188357,69.61911
127,35.93919,9.935055,14.418326,4.148598,3,34.0,11.69663,9.867102,2,0.84930307,0.42465153,67.59657
128,36.60765,2.9211562,10.028782,4.241429,5,35.0,7.3215303,0.0,0,0.0,0.0,0.0
129,38.7732,7.9199257,13.684133,2.908634,5,35.0,7.45533,5.39201,6,1.4965503,0.24942505,87.82206
130,33.52323,7.8574414,8.5760145,4.03346,5,31.0,6.4957223,49.06789,6,1.044615,0.1741025,81.09361
131,27.748978,8.497909,9.497663,4.1816316,3,26.0,9.045386,6.413593,4,0.6128177,0.15320443,79.64651
132,34.936333,5.95166,11.590898,4.007057,5,33.0,6.946652,0.0,1,0.20307502,0.20307502,83.801956
133,30.706165,9.528905,10.091267,3.89756,4,28.0,7.4038186,8.310044,6,1.0908917,0.18181528,77.173515
134,30.931694,10.013161,9.747601,4.0000143,5,28.0,5.982522,7.404859,4,1.0190861,0.25477153,66.886604
135,75.204056,8.544772,22.603811,3.720848,4,68.0,17.601015,2.561109,10,4.7999983,0.47999984,75.541595
136,53.73951,10.372447,11.809593,3.5609198,5,49.0,10.275304,7.0354805,9,2.362989,0.26255435,71.448944
137,32.97156,6.7014756,7.6856084,4.082221,4,28.0,7.815565,0.0,3,1.7092998,0.5697666,124.800865
138,43.5582,8.622878,15.917957,4.285366,4,40.0,10.520595,9.476839,6,1.475821,0.2459702,68.764595
139,44.131348,10.263099,13.840343,3.2957597,5,38.0,8.100666,5.034337,14,3.628019,0.25914425,79.1781
140,46.1279,10.325583,10.934809,3.7263496,4,41.0,10.7115135,4.488485,11,3.2818432,0.29834938,70.78708
141,61.545895,11.481549,15.761745,3.9391565,5,57.0,11.906249,2.723391,3,2.014647,0.671549,56.35669
142,56.309254,13.855965,16.324108,4.6277328,5,51.0,10.805033,2.498055,3,2.2840965,0.7613655,71.67112
143,47.998333,9.497663,14.74637,4.5232916,5,45.0,9.439409,0.0,2,0.801285,0.40064248,61.914997
144,38.951252,8.841574,8.123001,4.334754,5,36.0,7.7902503,0.0,0,0.0,0.0,0.0
145,54.343315,10.044403,14.480811,3.785411,4,49.0,12.917121,4.5481043,10,2.674833,0.26748326,72.913124
146,39.380974,11.590898,8.779089,4.554805,3,37.0,13.056937,0.0,1,0.21016115,0.21016115,99.696434
147,43.431698,9.778843,10.216236,4.102396,5,39.0,8.3783045,8.496022,7,1.5401714,0.22002447,83.79962
148,60.334713,6.5765066,16.07417,3.8938076,5,51.0,10.903278,4.4302626,19,5.8183265,0.30622774,76.828224
149,26.077944,1.8276752,4.608241,4.173224,6,24.0,4.346324,0.0,0,0.0,0.0,0.0
150,37.763405,5.4830256,10.7473545,4.314491,6,34.0,6.293901,0.0,0,0.0,0.0,0.0
151,27.427061,4.2645755,6.9982777,4.1408563,4,26.0,6.8567653,0.0,0,0.0,0.0,0.0
152,52.038013,12.512546,16.839605,3.589024,3,48.0,16.434713,2.535473,9,2.733873,0.30376363,74.75284
153,32.129837,5.3424354,8.310454,4.355279,4,30.0,8.032459,0.0,0,0.0,0.0,0.0
154,71.66046,8.419803,18.823492,2.6344597,5,65.0,13.604674,4.6322994,17,3.6370983,0.21394697,85.391
155,57.77257,7.4044275,17.448832,3.885329,5,51.0,10.79056,4.016418,12,3.8197694,0.3183141,70.86044
156,47.481495,7.4981546,19.104673,3.780533,5,42.0,8.825932,2.5531533,7,3.351834,0.4788334,73.31868
157,66.72844,8.5760145,21.604057,3.7224746,5,57.0,11.876437,3.688744,23,7.3462563,0.31940237,74.133995
158,68.463135,9.450799,18.839113,3.253313,5,59.0,12.201214,5.358806,28,7.457068,0.26632386,77.56577
159,66.57355,7.9043045,16.292866,3.7749345,5,59.0,12.376144,2.955161,17,4.6928244,0.2760485,78.75059
160,64.94326,9.653874,19.682655,3.5149467,5,55.0,11.604118,4.4479904,21,6.9226704,0.329651,79.04516
161,76.78206,15.886715,21.135424,3.5136902,5,71.0,14.676662,3.2343452,15,3.3987405,0.22658272,79.032616
162,69.344345,8.310454,17.870602,3.7695262,5,59.0,12.57293,2.9072409,26,6.479695,0.24921903,74.775345
163,45.195663,5.9829025,11.997047,3.8457668,5,40.0,8.596105,4.753224,10,2.2151415,0.22151418,79.99691
164,53.782978,6.7639604,14.590159,3.6034238,5,50.0,10.281095,3.286796,13,2.3775039,0.1828849,77.09522
165,61.631714,8.029274,18.870356,3.2490442,5,54.0,11.293846,4.4618,18,5.1624827,0.28680462,75.534966
166,69.82637,7.7637143,20.041943,3.154438,5,63.0,13.151867,6.7318506,20,4.067034,0.20335168,77.04647
167,70.20235,11.778351,17.152029,3.8149168,5,64.0,13.46809,1.9965892,13,2.8619013,0.22014625,67.15732
168,69.33917,6.638991,18.901598,3.041162,5,64.0,13.187515,3.2441785,9,3.4015985,0.3779554,79.62491
169,48.420258,6.1703563,14.652644,4.246907,5,46.0,9.6840515,0.0,0,0.0,0.0,0.0
170,76.98647,9.560147,19.354612,3.9371943,5,66.0,13.731593,3.3567948,26,8.328503,0.32032698,75.65651
171,68.15361,8.591636,14.262115,4.085942,5,58.0,12.0212145,4.136613,29,8.047528,0.27750093,74.012695
172,77.17663,5.3580565,22.931856,3.09023,5,73.0,15.026319,3.8353424,10,2.0450559,0.20450558,79.313644
173,32.513393,7.3575644,9.981918,4.272153,5,30.0,6.502679,0.0,0,0.0,0.0,0.0
174,34.88084,6.0453873,9.685117,3.9303203,4,29.0,7.83988,3.6204872,11,3.5213249,0.32012042,64.931076
175,58.062622,9.700738,16.386593,3.2750947,5,54.0,11.0592575,3.2718189,13,2.7663321,0.21279477,79.50255
176,47.7704,8.372939,15.621156,4.061951,5,44.0,9.062065,3.1704788,9,2.4600828,0.27334252,79.04497
177,42.53138,8.482287,18.448586,4.206995,4,38.0,9.9250555,1.9644771,9,2.8311586,0.31457323,67.19743
178,40.41605,6.014145,13.887207,3.8795998,5,33.0,7.298427,4.584266,13,3.923919,0.30183992,75.52872
179,42.7568,8.138622,18.167404,3.5521855,3,39.0,13.366996,3.647671,9,2.6558156,0.29509062,77.70384
180,46.42918,6.732718,13.902828,4.0621085,4,45.0,11.607295,0.0,0,0.0,0.0,0.0
181,54.12607,10.13813,15.246248,3.8897853,4,47.0,12.420323,3.2824476,12,4.44478,0.37039834,72.21446
182,34.05484,11.528413,9.950676,3.9500785,4,31.0,8.415524,0.0,1,0.3927454,0.3927454,37.86176
183,50.32911,8.904058,18.761007,4.0676565,4,43.0,11.262484,3.6019545,16,5.2791805,0.32994875,74.46758
184,50.740776,4.0615005,13.309224,4.1359572,5,48.0,10.148155,0.0,0,0.0,0.0,0.0
185,41.192715,7.138868,8.950922,4.050109,5,38.0,8.097569,12.685309,4,0.7048674,0.17621687,87.83051
186,38.38907,4.0458794,14.277736,3.9949195,4,36.0,9.597267,0.0,0,0.0,0.0,0.0
187,35.270588,7.8574414,10.372447,4.140513,5,32.0,7.0541177,0.0,0,0.0,0.0,0.0
188,42.750847,9.013407,14.683887,3.5554392,3,40.0,13.900429,2.6800716,6,1.0495639,0.17492734,87.20819
189,53.323788,11.4190645,13.65289,4.26146,4,48.0,12.666978,6.1345425,14,2.6558824,0.18970591,76.47951
190,26.186592,4.936285,4.8894215,4.1884675,5,23.0,5.2373185,0.0,0,0.0,0.0,0.0
191,48.457973,7.123247,18.089298,4.0980244,3,47.0,16.152658,0.0,0,0.0,0.0,0.0
192,52.389034,8.732226,9.107134,4.1195517,5,50.0,10.477807,0.0,0,0.0,0.0,0.0
193,46.963024,6.5452642,12.246986,4.5276914,4,43.0,11.383112,5.7802687,5,1.4305745,0.2861149,74.72171
194,58.43104,12.512546,15.746124,4.1223536,5,51.0,10.6466,5.381283,15,5.198042,0.3465361,83.39988
195,60.615067,9.575768,15.871094,4.1333737,5,56.0,11.729925,5.6386857,7,1.9654466,0.2807781,75.233406
196,40.661137,4.5457563,11.76273,4.3128343,5,36.0,7.6493216,7.1125965,7,2.4145324,0.3449332,69.779366
197,73.131775,9.247725,16.90209,4.038463,5,65.0,13.530237,3.9131286,21,5.4806066,0.26098126,74.10655
198,41.158405,6.3578105,11.309716,4.1281185,5,39.0,8.231681,0.0,0,0.0,0.0,0.0
199,58.021706,11.028536,14.87134,3.485601,5,55.0,11.400647,3.658034,7,1.018476,0.14549659,73.433754
200,67.0487,11.200369,16.121033,4.286347,5,62.0,12.634816,3.1737869,12,3.874626,0.3228855,79.9057
201,67.85275,9.794464,14.980688,3.5381682,5,58.0,12.132056,2.8176048,24,7.1924753,0.2996865,73.90533
202,49.127995,7.623124,15.105658,4.19341,4,47.0,12.281999,0.0,0,0.0,0.0,0.0
203,61.07087,11.9189415,14.902582,4.2860665,5,56.0,11.72816,7.8088245,7,2.4300694,0.34715277,76.87812
204,43.694202,6.0610085,12.059532,3.8393605,4,41.0,10.849247,0.0,1,0.29721278,0.29721278,58.224697
205,47.93248,9.3258295,14.449569,3.5889633,4,44.0,11.401529,5.804855,11,2.326364,0.21148765,67.68463
206,74.48083,15.215006,23.884747,4.218146,4,62.0,16.078053,5.082898,27,10.168621,0.37661555,70.33428
207,44.034622,5.1706023,10.575522,4.2161565,5,42.0,8.806924,0.0,0,0.0,0.0,0.0
208,38.556015,3.3741696,8.529151,4.172839,5,36.0,7.7112026,0.0,0,0.0,0.0,0.0
209,46.903927,11.997047,16.495941,3.4028473,4,43.0,11.210508,2.499173,9,2.0618925,0.22909915,80.86208
210,52.050816,11.62214,17.058302,4.1513605,3,47.0,16.357254,8.306084,12,2.979053,0.24825443,80.71554
211,33.521736,1.5777367,10.903566,4.2289176,5,31.0,6.7043476,0.0,0,0.0,0.0,0.0
212,48.252712,10.27872,16.35535,3.8228252,4,46.0,11.85677,3.3452344,5,0.82563657,0.16512732,84.55912
213,50.349792,11.012915,17.105165,4.2098274,5,45.0,9.547546,7.670049,9,2.6120658,0.29022953,76.365845
214,36.01999,7.326322,9.278966,4.231562,5,34.0,7.203998,0.0,0,0.0,0.0,0.0
215,59.29567,7.4825335,13.418572,3.9975245,5,54.0,11.209186,4.041635,11,3.2497485,0.2954317,80.64511
216,48.22226,8.372939,15.152521,4.1716557,4,46.0,11.971792,0.0,1,0.33509383,0.33509383,67.75176
217,56.347073,12.153259,14.262115,4.018977,5,53.0,11.084385,11.648276,2,0.92514825,0.46257412,61.017906
218,40.63552,7.4825335,10.778597,4.5362124,5,39.0,8.086012,0.0,1,0.20546423,0.20546423,81.60836
219,56.42829,9.3258295,18.995325,3.6355255,5,48.0,10.336219,2.7904449,13,4.747204,0.3651695,68.68935
220,46.94146,8.497909,15.215006,4.1645226,4,42.0,11.064395,3.4453883,9,2.6838818,0.29820907,74.20749
221,48.621788,5.607995,11.512792,4.1028123,5,44.0,9.227445,4.964365,9,2.4845693,0.27606326,77.96744
222,40.76916,9.310208,11.747108,3.971626,4,39.0,10.062819,5.4386053,3,0.51788634,0.17262878,66.23174
223,45.947178,5.8423123,11.403443,4.187109,4,44.0,11.365351,0.0,1,0.48577255,0.48577255,75.296715
224,38.93623,8.65412,10.841082,4.2093353,4,37.0,9.734057,0.0,0,0.0,0.0,0.0
225,46.32113,11.997047,14.387084,3.1510978,4,44.0,11.462224,3.0947456,3,0.47223088,0.1574103,85.65112
226,45.564312,9.87257,11.684625,4.2399383,5,41.0,8.813874,0.0,1,1.494937,1.494937,62.42431
227,37.743454,9.138376,12.903074,4.02635,3,35.0,12.255655,2.064397,5,0.97648656,0.1952973,72.85941
228,39.43233,7.654366,13.012423,4.2650394,4,36.0,9.564472,3.0070212,4,1.1744413,0.2936103,73.503204
229,46.24548,4.9987698,15.121279,3.4425,5,42.0,8.880049,2.2312133,8,1.8452387,0.23065484,80.22693
230,33.467323,8.669742,11.21599,4.0709033,5,31.0,6.5776367,7.3959,3,0.579139,0.19304633,71.392426
231,43.693043,7.9980316,9.981918,4.25441,5,39.0,8.507182,1.5854805,4,1.1571321,0.28928304,78.02284
232,61.654648,9.122755,18.698523,4.3916698,5,56.0,11.801541,2.4216173,8,2.6469414000000002,0.3308677,78.496254
233,25.674591,10.575522,7.326322,3.9160626,3,22.0,8.25014,5.6709747,3,0.9241697,0.30805656,79.911644
234,64.80125,11.809593,18.620417,3.4690251,5,61.0,12.534052,3.2624311,8,2.130984,0.266373,87.44799
235,48.10802,5.420541,14.933825,3.9414856,5,46.0,9.479444,2.9328306,2,0.71080506,0.35540256,81.138824
236,42.999554,10.216236,10.060024,3.2184446,4,39.0,10.547093,4.358141,3,0.8111813,0.27039376,82.801094
237,77.85846,12.262607,19.932594,4.3809557,5,73.0,15.182718,2.9594502,9,1.9448767,0.2160974,78.18835
238,41.323666,3.5460024,15.808609,3.934084,4,37.0,9.794785,2.556068,6,2.144524,0.35742068,66.41349
239,38.43738,5.7017217,10.075645,3.0278518,5,36.0,7.5616536,2.8672304,3,0.62911296,0.20970434,83.10791
240,48.04092,7.326322,9.263345,4.4923577,5,44.0,9.445023,4.122837,4,0.815809,0.20395225,70.11363
241,34.37489,11.044157,9.685117,3.399497,4,32.0,8.333143,6.637933,4,1.0423194,0.26057988,76.24572
